star_names,distance,mass,radius,luminosity,solar_mass,solar_radius,apparent_magintude,star_gravity
Wezen,"1,600","82,000",200.0,"82,000",0.0,20.5526,1.82,0.0
Sargas,0270,"1,800",26.0,"1,800",0.0,2.671838,1.84,6.375823121473999e+33
Kaus Australis,0140,360,6.8,360,0.34365168,0.6987884,1.85,0.0
Avior,0630,"60,000",130.0,"60,000",0.0,13.35919,1.86,0.0
Alkaid,0104,"1,350",3.4,"1,350",0.0,0.3493942,1.86,5.336568042811528e+33
Menkalinan,081,50,2.77,50,0.0477294,0.28465351,1.90,0.0
Atria,0390,"5,500",92.0,"5,500",0.0,9.454196,1.91,9.024121859104916e+33
Alhena,0109,120,3.3,120,0.11455056,0.3391179,1.92,0.0
Peacock,0180,"2,200",4.8,"2,200",0.0,0.4932623999999999,1.94,8.763913826901237e+33
Alsephina[2],0080,90,2.9,90,0.08591292,0.2980127,1.96,0.0
Mirzam,0500,"27,000",10.0,"27,000",0.0,1.0276299999999998,1.98,0.0
Polaris,0430,"2,500",39.0,"2,500",0.0,4.007757,1.98,2.5550898631869656e+32
Alphard,0180,780,50.0,780,0.7445786400000001,5.13815,2.00,0.0
Scheat,0196,"1,500",95.0,"1,500",0.0,9.762485,2.42,0.0
Almaaz,0653,"43,000",140.0,"43,000",0.0,14.386819999999998,2.98,0.0
Rasalgethi,0360,"8,300",280.0,"8,300",0.0,28.77364,3.35,5.340132228282447e+32
Tau Ceti,011.9,0.52,0.893,0.52,0.0004963857599999,0.091767359,3.50,6.71261523535878e+32
Delta Pavonis,019.92,1.22,1.22,1.22,0.00116459736,0.12537086,3.56,5.084720233065783e+32
Ran,010.48,0.34,0.74,0.34,0.00032455992,0.07604462,3.74,0.0
V382 Carinae,"08,900","212,000",485.0,"212,000",0.0,49.840055,3.83,0
Eta Carinae,"07,500","5,000,000",60881.0,"5,000,000",0.0,0.0,4,0.0
Delta Cephei,0887,"2,000",44.5,"2,000",0.0,4.572953500000001,4.07,0.0
Mu Cephei,"06,000","135,000",972.0,"135,000",0.0,99.885636,4.08,1.334739061179768e+33
Titawin,044.25,3.57,1.48,3.57,0.00340787916,0.15208924,4.09,0
